Player,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Kobe,1,0,1:00,1,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7
Kobe,2,0,5:00,1,3,0.333,0,1,0,4,4,1,0,0,0,0,0,0,0,1,6,3.9
Kobe,3,0,27:00:00,7,13,0.538,2,3,0.667,6,8,0.75,0,4,4,2,1,0,4,5,22,12.5
Kobe,4,0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Kobe,1,0,14:00,1,7,0.143,1,5,0.2,0,1,0,1,1,2,3,0,1,0,5,3,-0.1
Kobe,2,0,4:00,1,1,1,0,0,,0,0,,0,0,0,1,0,0,1,2,2,0.6
Kobe,3,0,19:00,3,7,0.429,0,2,0,13,14,0.929,0,1,1,3,1,1,3,3,19,14.8
Kobe,4,0,28:00:00,3,9,0.333,3,6,0.5,0,0,,0,2,2,0,0,0,5,4,9,-2.1
Kobe,5,0,29:00:00,4,14,0.286,0,6,0,3,3,1,0,2,2,2,1,0,1,3,11,3.6
Kobe,1,0,27:00:00,4,9,0.444,1,1,1,6,9,0.667,0,1,1,4,1,2,0,5,15,12.6
Kobe,2,0,24:00:00,2,7,0.286,0,0,,0,0,,0,3,3,4,0,1,1,2,4,2.5
Kobe,3,0,16:00,1,6,0.167,0,2,0,2,2,1,3,2,5,0,0,0,1,3,4,0.7
Kobe,4,0,36:00:00,9,16,0.563,1,1,1,3,4,0.75,0,3,3,4,0,1,1,4,22,15.8
Kobe,1,0,16:00,1,5,0.2,0,2,0,2,4,0.5,1,0,1,0,1,1,0,2,4,1.7
Kobe,4,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Kobe,5,0,11:00,3,3,1,1,1,1,0,0,,0,1,1,0,0,1,1,2,7,5.3
Kobe,1,0,31:00:00,4,14,0.286,0,5,0,8,12,0.667,2,2,4,2,0,1,0,0,16,10.3
Kobe,2,0,22:00,3,10,0.3,0,1,0,3,4,0.75,1,1,2,1,0,0,2,3,9,1.3
Kobe,3,0,15:00,2,4,0.5,0,1,0,5,7,0.714,0,0,0,1,0,0,2,4,9,3.3
Kobe,4,0,19:00,2,2,1,0,0,,2,3,0.667,0,1,1,0,1,1,3,3,6,2.8
Kobe,1,1,28:00:00,5,9,0.556,1,1,1,6,6,1,0,5,5,5,0,1,2,4,17,14.8
Kobe,2,1,38:00:00,8,15,0.533,1,3,0.333,2,2,1,2,7,9,5,3,1,4,1,19,18
Kobe,3,1,35:00:00,5,17,0.294,1,4,0.25,2,2,1,4,5,9,5,2,4,3,3,13,11.5
Kobe,4,1,47:00:00,9,25,0.36,1,3,0.333,5,6,0.833,1,5,6,8,3,2,3,1,24,18.5
Kobe,1,1,36:00:00,8,17,0.471,0,1,0,5,6,0.833,2,4,6,6,3,1,7,2,21,14.6
Kobe,2,1,47:00:00,12,25,0.48,1,3,0.333,3,5,0.6,1,7,8,4,0,0,5,3,28,13.9
Kobe,3,1,44:00:00,7,18,0.389,2,5,0.4,4,6,0.667,0,4,4,1,4,1,4,4,20,10.4
Kobe,4,1,40:00:00,7,16,0.438,1,3,0.333,1,2,0.5,3,5,8,3,0,0,3,6,16,7.5
Kobe,1,1,39:00:00,11,22,0.5,0,1,0,1,2,0.5,5,2,7,5,0,0,3,5,23,14.2
Kobe,2,1,37:00:00,12,20,0.6,3,3,1,5,6,0.833,0,4,4,1,2,0,1,2,32,24.5
Kobe,3,1,37:00:00,13,25,0.52,2,6,0.333,7,9,0.778,1,2,3,2,2,0,2,5,35,22.6
Kobe,4,1,46:00:00,13,30,0.433,0,3,0,6,8,0.75,2,4,6,4,2,0,7,4,32,14.2
Kobe,5,1,34:00:00,7,16,0.438,1,5,0.2,2,2,1,0,2,2,6,0,3,1,2,17,13.7
Kobe,1,1,34:00:00,8,17,0.471,1,2,0.5,8,10,0.8,3,3,6,1,3,3,3,4,25,19.7
Kobe,2,1,34:00:00,6,11,0.545,0,1,0,3,4,0.75,0,4,4,6,2,2,5,4,15,11.5
Kobe,3,1,47:00:00,8,20,0.4,0,2,0,9,13,0.692,2,3,5,2,2,2,3,4,25,15.1
Kobe,4,1,37:00:00,10,20,0.5,0,5,0,3,6,0.5,1,2,3,5,2,0,2,4,23,15
Kobe,5,1,34:00:00,6,16,0.375,1,3,0.333,4,4,1,1,0,1,3,1,0,2,3,17,8.8
Kobe,1,1,38:00:00,4,9,0.444,0,1,0,5,7,0.714,1,2,3,6,1,1,1,5,13,11.7
Kobe,2,1,42:00:00,2,9,0.222,1,2,0.5,7,8,0.875,0,2,2,4,2,1,2,5,12,8.2
Kobe,3,1,47:00:00,11,18,0.611,1,1,1,2,2,1,2,5,7,7,2,1,3,5,25,22.3
Kobe,4,1,46:00:00,5,15,0.333,2,3,0.667,6,7,0.857,1,3,4,7,2,3,3,4,18,15.1
Kobe,5,1,34:00:00,4,13,0.308,1,3,0.333,8,9,0.889,1,4,5,4,0,2,6,6,17,6.8
Kobe,6,1,48:00:00,12,24,0.5,6,9,0.667,3,6,0.5,0,2,2,6,4,3,3,5,33,25.7
Kobe,7,1,47:00:00,9,19,0.474,1,4,0.25,6,12,0.5,0,11,11,7,0,4,2,4,25,20.3
Kobe,1,1,38:00:00,6,13,0.462,0,2,0,2,2,1,0,3,3,5,1,2,2,4,14,10.5
Kobe,2,1,9:00,1,3,0.333,0,1,0,0,0,,0,1,1,4,0,1,0,1,2,3.7
Kobe,4,1,47:00:00,14,27,0.519,0,0,,0,0,,2,2,4,5,1,2,3,4,28,18
Kobe,5,1,37:00:00,4,20,0.2,0,1,0,0,0,,1,4,5,3,2,0,0,5,8,-0.4
Kobe,6,1,45:00:00,8,27,0.296,2,6,0.333,8,9,0.889,3,7,10,4,1,2,1,4,26,16.7
Kobe,1,1,41:00:00,9,20,0.45,1,2,0.5,9,12,0.75,1,5,6,7,2,0,0,4,28,23.9
Kobe,2,1,35:00:00,8,11,0.727,1,2,0.5,8,10,0.8,2,1,3,7,3,0,3,3,25,25.1
Kobe,3,1,43:00:00,9,23,0.391,0,2,0,4,6,0.667,1,3,4,9,2,0,3,4,22,14
Kobe,1,1,39:00:00,10,23,0.435,0,1,0,9,11,0.818,3,1,4,5,0,0,5,4,29,15.4
Kobe,2,1,47:00:00,9,19,0.474,0,2,0,9,10,0.9,1,8,9,5,1,1,4,4,27,19.6
Kobe,3,1,39:00:00,10,22,0.455,0,1,0,16,19,0.842,0,7,7,4,2,0,5,4,36,23.7
Kobe,4,1,48:00:00,15,29,0.517,1,1,1,17,19,0.895,9,7,16,3,2,1,2,2,48,43.3
Kobe,1,1,47:00:00,19,35,0.543,1,2,0.5,6,8,0.75,1,9,10,3,1,1,4,4,45,28.9
Kobe,2,1,47:00:00,11,24,0.458,1,4,0.25,5,6,0.833,1,6,7,6,2,1,2,4,28,21
Kobe,3,1,40:00:00,14,27,0.519,2,4,0.5,6,9,0.667,5,4,9,8,1,0,3,1,36,29.4
Kobe,4,1,34:00:00,10,19,0.526,1,4,0.25,3,3,1,0,2,2,11,2,1,2,4,24,22.1
Kobe,1,1,52:00:00,7,22,0.318,0,0,,1,1,1,0,3,3,5,1,3,6,4,15,2.3
Kobe,2,1,47:00:00,11,23,0.478,1,2,0.5,8,8,1,1,7,8,6,2,2,2,4,31,26.1
Kobe,3,1,48:00:00,13,30,0.433,0,2,0,6,6,1,0,6,6,3,2,0,3,2,32,18.3
Kobe,4,1,43:00:00,6,13,0.462,0,2,0,7,12,0.583,2,8,10,9,1,1,4,2,19,17.3
Kobe,5,1,44:00:00,7,18,0.389,2,3,0.667,10,11,0.909,2,10,12,6,1,1,3,3,26,21.9
Kobe,1,1,44:00:00,10,28,0.357,2,7,0.286,12,13,0.923,3,4,7,3,2,3,1,3,34,25.3
Kobe,2,1,43:00:00,5,21,0.238,1,4,0.25,8,9,0.889,1,5,6,5,2,0,3,5,19,8.6
Kobe,3,1,45:00:00,9,19,0.474,3,4,0.75,4,7,0.571,0,4,4,7,2,2,4,5,25,17.6
Kobe,1,1,38:00:00,8,18,0.444,0,3,0,4,10,0.4,0,2,2,4,0,0,3,4,20,7
Kobe,2,1,43:00:00,12,25,0.48,0,2,0,2,2,1,1,3,4,6,3,0,4,4,26,16.5
Kobe,3,1,48:00:00,15,31,0.484,0,2,0,1,3,0.333,2,4,6,6,0,1,1,1,31,20.6
Kobe,4,1,44:00:00,10,27,0.37,3,5,0.6,5,9,0.556,3,4,7,3,1,0,2,3,28,14.7
Kobe,5,1,46:00:00,10,20,0.5,0,1,0,6,7,0.857,3,5,8,5,1,0,0,1,26,23.3
Kobe,1,1,44:00:00,12,26,0.462,0,2,0,6,7,0.857,1,5,6,5,2,2,5,1,30,19.9
Kobe,2,1,40:00:00,9,21,0.429,1,2,0.5,3,5,0.6,1,5,6,2,1,1,4,3,22,10.2
Kobe,3,1,40:00:00,8,24,0.333,4,9,0.444,2,2,1,1,1,2,3,2,2,2,6,22,10.5
Kobe,4,1,42:00:00,12,26,0.462,0,1,0,1,3,0.333,2,2,4,2,2,3,4,5,25,12.3
Kobe,5,1,45:00:00,11,29,0.379,0,2,0,8,11,0.727,2,3,5,3,1,0,5,5,30,11.3
Kobe,6,1,44:00:00,10,20,0.5,0,0,,11,11,1,2,9,11,5,0,0,1,3,31,26.4
Kobe,7,1,52:00:00,10,26,0.385,2,3,0.667,8,10,0.8,3,7,10,7,2,0,0,5,30,24.1
Kobe,1,1,43:00:00,6,16,0.375,0,2,0,10,11,0.909,1,2,3,6,1,0,4,2,22,14.5
Kobe,2,1,42:00:00,9,15,0.6,3,3,1,3,4,0.75,1,7,8,3,2,1,4,2,24,19.5
Kobe,3,1,46:00:00,14,23,0.609,1,3,0.333,7,10,0.7,1,5,6,4,1,2,6,3,36,24.5
Kobe,4,1,44:00:00,7,16,0.438,2,3,0.667,9,11,0.818,0,6,6,8,2,0,1,4,25,22.6
Kobe,1,1,45:00:00,16,30,0.533,1,3,0.333,6,6,1,1,4,5,8,1,0,1,3,39,30.7
Kobe,2,1,46:00:00,9,28,0.321,2,6,0.333,7,9,0.778,0,4,4,8,1,0,3,4,27,13.4
Kobe,3,1,50:00:00,10,28,0.357,1,5,0.2,9,10,0.9,3,4,7,6,1,0,6,1,30,16.1
Kobe,4,1,47:00:00,7,25,0.28,2,3,0.667,16,17,0.941,1,4,5,5,3,0,1,2,32,23.5
Kobe,5,1,40:00:00,12,21,0.571,2,4,0.5,6,8,0.75,3,5,8,5,1,0,2,0,32,27.4
Kobe,6,1,42:00:00,14,26,0.538,2,7,0.286,1,2,0.5,1,1,2,8,1,0,2,4,31,22
Kobe,1,1,45:00:00,16,38,0.421,3,4,0.75,2,2,1,1,3,4,2,0,0,5,3,37,13.6
Kobe,2,1,41:00:00,9,24,0.375,2,6,0.333,7,10,0.7,0,6,6,1,0,0,5,4,27,8.5
Kobe,3,1,43:00:00,10,23,0.435,2,4,0.5,17,19,0.895,2,2,4,4,1,0,4,2,39,27.1
Kobe,4,1,40:00:00,10,24,0.417,1,4,0.25,14,17,0.824,2,5,7,3,2,1,2,5,35,24.7
Kobe,5,1,48:00:00,15,31,0.484,5,11,0.455,1,2,0.5,2,5,7,6,2,0,4,3,36,23.8
Kobe,6,1,43:00:00,9,19,0.474,2,5,0.4,0,2,0,0,2,2,6,1,0,7,4,20,6.7
Kobe,1,1,43:00:00,4,19,0.211,1,4,0.25,7,8,0.875,1,4,5,6,5,0,0,2,16,14.2
Kobe,2,1,45:00:00,9,20,0.45,2,6,0.333,16,17,0.941,0,4,4,4,1,0,1,3,36,28
Kobe,3,1,43:00:00,7,20,0.35,0,3,0,7,8,0.875,3,4,7,6,3,1,1,4,21,18
Kobe,4,1,50:00:00,7,21,0.333,0,2,0,4,5,0.8,2,4,6,5,2,0,3,4,18,9.2
Kobe,5,1,41:00:00,12,21,0.571,1,4,0.25,6,6,1,1,5,6,10,3,0,1,3,31,31.1
Kobe,1,1,45:00:00,10,26,0.385,2,6,0.333,9,10,0.9,2,8,10,4,2,0,4,1,31,20.6
Kobe,2,1,42:00:00,7,17,0.412,0,1,0,1,2,0.5,2,3,5,8,1,0,2,4,15,10.8
Kobe,3,1,42:00:00,7,13,0.538,4,7,0.571,4,8,0.5,0,6,6,6,2,0,5,3,22,15.9
Kobe,4,1,45:00:00,15,27,0.556,2,4,0.5,10,13,0.769,0,6,6,5,3,1,0,2,42,36.1
Kobe,5,1,47:00:00,11,27,0.407,0,4,0,0,0,,0,4,4,5,1,0,5,1,22,7.8
Kobe,6,1,44:00:00,10,20,0.5,0,3,0,6,8,0.75,0,7,7,7,1,0,4,2,26,18.4
Kobe,1,1,45:00:00,9,20,0.45,0,1,0,5,8,0.625,0,3,3,6,3,0,3,2,23,15.7
Kobe,2,1,41:00:00,10,24,0.417,0,4,0,7,10,0.7,2,3,5,6,2,0,2,1,27,19.1
Kobe,3,1,45:00:00,5,12,0.417,2,6,0.333,10,11,0.909,0,2,2,6,0,0,4,3,22,14.8
Kobe,4,1,41:00:00,10,24,0.417,2,8,0.25,9,10,0.9,2,6,8,4,1,1,4,3,31,20.3
Kobe,5,1,44:00:00,8,19,0.421,3,8,0.375,4,6,0.667,1,5,6,7,1,0,4,3,23,15
Kobe,6,1,39:00:00,6,17,0.353,1,3,0.333,7,11,0.636,0,0,0,4,2,1,0,3,20,13.2
Kobe,1,1,47:00:00,10,27,0.37,1,6,0.167,4,4,1,1,3,4,4,4,2,3,2,25,16.1
Kobe,2,1,49:00:00,14,27,0.519,1,5,0.2,4,5,0.8,0,4,4,7,2,0,5,5,33,20.4
Kobe,3,1,45:00:00,4,13,0.308,0,4,0,3,3,1,0,3,3,5,1,1,4,3,11,4.4
Kobe,4,1,45:00:00,8,25,0.32,2,6,0.333,2,2,1,0,0,0,2,1,0,3,3,20,3.9
Kobe,5,1,45:00:00,7,21,0.333,0,2,0,10,11,0.909,1,2,3,4,1,0,3,2,24,13
Kobe,1,1,46:51:00,7,21,0.333,1,6,0.167,7,8,0.875,1,5,6,5,0,1,3,3,22,11.9
Kobe,2,1,44:58:00,12,24,0.5,1,1,1,4,6,0.667,0,10,10,5,1,0,4,4,29,18.1
Kobe,3,1,45:40:00,6,18,0.333,0,3,0,5,6,0.833,1,4,5,7,4,0,4,2,17,12.4
Kobe,4,1,38:30:00,9,14,0.643,0,1,0,6,8,0.75,1,3,4,8,0,0,7,5,24,15.2
Kobe,5,1,43:03:00,10,17,0.588,3,8,0.375,6,9,0.667,0,7,7,5,0,1,5,3,29,20
Kobe,6,1,52:06:00,20,35,0.571,5,8,0.625,5,6,0.833,1,7,8,5,3,0,7,4,50,33.8
Kobe,7,1,43:06:00,8,16,0.5,4,8,0.5,4,5,0.8,0,4,4,1,0,1,3,4,24,13.6
Kobe,1,1,43:11:00,15,33,0.455,4,8,0.5,5,7,0.714,0,5,5,1,0,0,2,3,39,20.1
Kobe,2,1,34:09:00,5,13,0.385,1,4,0.25,4,4,1,1,3,4,5,1,0,3,0,15,11
Kobe,3,1,44:49:00,15,26,0.577,2,3,0.667,13,13,1,0,6,6,6,1,1,5,3,45,34.3
Kobe,4,1,46:22:00,12,25,0.48,1,5,0.2,6,6,1,0,7,7,9,2,1,6,2,31,22.6
Kobe,5,1,46:13:00,13,33,0.394,2,8,0.25,6,7,0.857,0,4,4,1,1,0,6,2,34,11.8
Kobe,1,1,37:03:00,9,26,0.346,1,5,0.2,13,14,0.929,0,3,3,1,1,2,1,5,32,18
Kobe,2,1,42:23:00,18,27,0.667,5,9,0.556,8,9,0.889,1,3,4,10,1,1,2,4,49,43.6
Kobe,3,1,36:09:00,9,19,0.474,1,8,0.125,3,5,0.6,1,6,7,8,1,1,2,2,22,18.5
Kobe,4,1,41:30:00,12,24,0.5,3,8,0.375,4,10,0.4,1,6,7,6,3,2,6,3,31,20.5
Kobe,1,1,39:56:00,8,16,0.5,1,2,0.5,21,23,0.913,0,6,6,7,1,0,3,3,38,32.7
Kobe,2,1,37:31:00,11,18,0.611,1,2,0.5,11,12,0.917,0,8,8,6,1,0,5,4,34,26.4
Kobe,3,1,42:04:00,10,20,0.5,0,6,0,14,17,0.824,2,4,6,7,0,1,4,4,34,25.4
Kobe,4,1,46:32:00,13,33,0.394,1,10,0.1,6,10,0.6,2,6,8,10,1,0,3,1,33,21.3
Kobe,5,1,41:03:00,6,10,0.6,1,2,0.5,13,17,0.765,0,6,6,7,2,0,4,3,26,23.3
Kobe,6,1,39:31:00,9,19,0.474,1,2,0.5,15,17,0.882,0,8,8,6,0,0,5,4,34,23.5
Kobe,1,1,43:34:00,11,21,0.524,1,3,0.333,4,4,1,0,5,5,9,1,0,1,1,27,24.1
Kobe,2,1,36:03:00,10,17,0.588,1,5,0.2,1,1,1,0,5,5,5,1,0,3,0,22,17.1
Kobe,3,1,37:47:00,13,23,0.565,4,9,0.444,0,1,0,1,4,5,1,3,0,4,3,30,19.1
Kobe,4,1,41:18:00,14,29,0.483,0,1,0,0,0,,2,8,10,1,1,0,2,1,28,16.4
Kobe,5,1,42:33:00,16,30,0.533,2,6,0.333,5,5,1,0,3,3,3,2,0,2,2,39,26.6
Kobe,1,1,41:52:00,9,26,0.346,0,3,0,6,6,1,0,3,3,6,1,1,4,3,24,11
Kobe,2,1,40:28:00,11,23,0.478,1,3,0.333,7,7,1,1,3,4,8,3,0,4,3,30,23.3
Kobe,3,1,45:15:00,12,20,0.6,1,2,0.5,11,18,0.611,3,4,7,1,2,0,3,4,36,25.4
Kobe,4,1,43:21:00,6,19,0.316,0,2,0,5,6,0.833,0,4,4,10,4,0,2,4,17,14.3
Kobe,5,1,44:20:00,8,21,0.381,4,9,0.444,5,7,0.714,3,4,7,4,5,0,6,4,25,16.2
Kobe,6,1,42:46:00,7,22,0.318,3,9,0.333,5,5,1,1,2,3,1,1,0,4,1,22,8
Kobe,1,1,39:46:00,9,17,0.529,0,4,0,6,7,0.857,0,4,4,8,2,1,6,2,24,18
Kobe,2,1,38:16:00,8,17,0.471,1,3,0.333,9,10,0.9,0,6,6,9,2,0,3,2,26,23.2
Kobe,3,1,43:08:00,5,24,0.208,1,4,0.25,7,8,0.875,2,5,7,6,2,0,2,4,18,8.3
Kobe,4,1,39:37:00,16,24,0.667,1,2,0.5,5,5,1,0,6,6,1,2,0,3,2,38,28.3
Kobe,5,1,42:30:00,10,21,0.476,3,4,0.75,8,9,0.889,0,2,2,4,4,1,5,2,31,22.2
Kobe,1,1,43:57:00,14,31,0.452,1,7,0.143,3,5,0.6,0,8,8,4,2,0,2,3,32,19.1
Kobe,2,1,40:09:00,16,27,0.593,2,3,0.667,6,7,0.857,2,4,6,3,1,0,2,1,40,30.4
Kobe,3,1,44:15:00,11,28,0.393,4,6,0.667,7,8,0.875,2,4,6,3,2,3,0,2,33,25.4
Kobe,4,1,34:39:00,7,17,0.412,1,4,0.25,0,0,,0,2,2,5,4,0,0,1,15,13.6
Kobe,5,1,30:49:00,10,19,0.526,1,3,0.333,5,6,0.833,0,4,4,3,1,1,4,3,26,16.1
Kobe,6,1,38:26:00,11,27,0.407,1,5,0.2,9,10,0.9,1,1,2,3,1,3,2,2,32,20.5
Kobe,7,1,33:21:00,4,12,0.333,1,4,0.25,5,6,0.833,1,6,7,5,3,2,1,4,14,14.6
Kobe,1,1,43:21:00,13,28,0.464,2,3,0.667,12,13,0.923,3,3,6,4,0,1,1,3,40,29.5
Kobe,2,1,39:42:00,10,20,0.5,2,4,0.5,10,10,1,2,3,5,3,1,1,2,4,32,24.5
Kobe,3,1,41:13:00,12,24,0.5,2,5,0.4,15,17,0.882,1,5,6,5,2,0,1,4,41,33.3
Kobe,4,1,41:12:00,10,26,0.385,2,10,0.2,12,13,0.923,1,6,7,5,1,0,1,3,34,24.2
Kobe,5,1,44:54:00,6,13,0.462,1,6,0.167,9,10,0.9,1,4,5,8,1,0,7,3,22,15.2
